Country;Control of Corruption;Government Effectiveness;Political Stability;Regulatory Quality;Rule of Law;Voice and Accountability
Afghanistan;-1.34041118621826;-1.33560407161713;-2.5023500919342;-1.00835132598877;-1.59256529808044;-1.15214145183563
Albania;-0.444014370441437;0.0278296433389187;0.357205927371979;0.198663026094437;-0.359367221593857;0.159348383545876
Algeria;-0.681528627872467;-0.506217956542969;-1.04645347595215;-1.16992425918579;-0.831183552742004;-0.852513372898102
Andorra;1.24600279331207;1.75235509872437;1.43677127361298;0.892058968544006;1.59460079669952;1.20887196063995
Angola;-1.39689266681671;-1.01203572750092;-0.590507030487061;-0.908263742923737;-1.06929445266724;-1.18575537204742
Antigua and Barbuda;0.667171657085419;0.210274502635002;1.06671464443207;0.530259847640991;0.208643347024918;0.685896039009094
Argentina;-0.586866021156311;-0.0870741456747055;-0.0656856372952461;-0.956594407558441;-0.803722202777863;0.334655404090881
Armenia;-0.451385140419006;-0.135414749383926;-0.291858524084091;0.248900607228279;-0.343095302581787;-0.536519169807434
Aruba;1.31030535697937;0.859493255615234;1.25978648662567;1.38416814804077;1.288703083992;1.23131573200226
Australia;1.91106379032135;1.5582971572876;0.901844501495361;1.79583930969238;1.82411885261536;1.36033666133881
Austria;1.49278879165649;1.47360920906067;1.18608224391937;1.43017399311066;1.85011100769043;1.39762568473816
Azerbaijan;-0.824561774730682;-0.233231469988823;-0.688646733760834;-0.254431903362274;-0.602973878383636;-1.50647950172424
Bahamas. The;1.29398441314697;0.705103993415833;0.956930875778198;0.254005789756775;0.560941338539124;1.07841289043427
Bahrain;0.173393979668617;0.573863804340363;-1.07780015468597;0.827999234199524;0.460489690303802;-1.32064759731293
Bangladesh;-0.875110387802124;-0.727822244167328;-1.15467166900635;-0.928824543952942;-0.700205147266388;-0.493462353944778
Barbados;1.78851592540741;1.00253105163574;1.32416176795959;0.510663628578186;1.05291211605072;1.24051153659821
Belarus;-0.365942984819412;-0.476236432790756;-0.00220344541594386;-1.00234746932983;-0.786913096904755;-1.46240675449371
Belgium;1.58263218402863;1.44135928153992;0.603096723556519;1.27732384204865;1.42105519771576;1.39274287223816
Belize;-0.20789523422718;-0.696509122848511;0.0442024245858192;-0.466513991355896;-0.73572838306427;0.556436836719513
Benin;-0.614093601703644;-0.617992043495178;0.00187183171510696;-0.555357158184052;-0.581280887126923;0.278225064277649
Bhutan;0.983752012252808;0.406286299228668;1.09890854358673;-0.70538467168808;0.509776473045349;-0.0636127814650536
Bolivia;-0.683430373668671;-0.657609462738037;-0.282098084688187;-0.906478941440582;-1.15207231044769;-0.0557937286794186
Bosnia and Herzegovina;-0.366738021373749;-0.544285178184509;-0.451415866613388;-0.180549576878548;-0.291311323642731;-0.112871572375298
Botswana;0.836243391036987;0.513288199901581;1.02923572063446;0.485233396291733;0.632508397102355;0.434419095516205
Brazil;-0.432712525129318;-0.189013719558716;-0.379240781068802;-0.212529927492142;-0.192782074213028;0.383080542087555
