Country;Control of Corruption;Government Effectiveness;Political Stability;Regulatory Quality;Rule of Law;Voice and Accountability
Afghanistan;-1.340411186;-1.335604072;-2.502350092;-1.008351326;-1.592565298;-1.152141452
Albania;-0.44401437;0.027829643;0.357205927;0.198663026;-0.359367222;0.159348384
Algeria;-0.681528628;-0.506217957;-1.046453476;-1.169924259;-0.831183553;-0.852513373
Andorra;1.246002793;1.752355099;1.436771274;0.892058969;1.594600797;1.208871961
Angola;-1.396892667;-1.012035728;-0.59050703;-0.908263743;-1.069294453;-1.185755372
Antigua and Barbuda;0.667171657;0.210274503;1.066714644;0.530259848;0.208643347;0.685896039
Argentina;-0.586866021;-0.087074146;-0.065685637;-0.956594408;-0.803722203;0.334655404
Armenia;-0.45138514;-0.135414749;-0.291858524;0.248900607;-0.343095303;-0.53651917
Aruba;1.310305357;0.859493256;1.259786487;1.384168148;1.288703084;1.231315732
Australia;1.91106379;1.558297157;0.901844501;1.79583931;1.824118853;1.360336661
Austria;1.492788792;1.473609209;1.186082244;1.430173993;1.850111008;1.397625685
Azerbaijan;-0.824561775;-0.23323147;-0.688646734;-0.254431903;-0.602973878;-1.506479502
Bahamas. The;1.293984413;0.705103993;0.956930876;0.25400579;0.560941339;1.07841289
Bahrain;0.17339398;0.573863804;-1.077800155;0.827999234;0.46048969;-1.320647597
Bangladesh;-0.875110388;-0.727822244;-1.154671669;-0.928824544;-0.700205147;-0.493462354
Barbados;1.788515925;1.002531052;1.324161768;0.510663629;1.052912116;1.240511537
Belarus;-0.365942985;-0.476236433;-0.002203445;-1.002347469;-0.786913097;-1.462406754
Belgium;1.582632184;1.441359282;0.603096724;1.277323842;1.421055198;1.392742872
Belize;-0.207895234;-0.696509123;0.044202425;-0.466513991;-0.735728383;0.556436837
Benin;-0.614093602;-0.617992043;0.001871832;-0.555357158;-0.581280887;0.278225064
Bhutan;0.983752012;0.406286299;1.098908544;-0.705384672;0.509776473;-0.063612781
Bolivia;-0.683430374;-0.657609463;-0.282098085;-0.906478941;-1.15207231;-0.055793729
Bosnia and Herzegovina;-0.366738021;-0.544285178;-0.451415867;-0.180549577;-0.291311324;-0.112871572
Botswana;0.836243391;0.5132882;1.029235721;0.485233396;0.632508397;0.434419096
Brazil;-0.432712525;-0.18901372;-0.379240781;-0.212529927;-0.192782074;0.383080542
Brunei Darussalam;0.640940785;1.052561998;1.208048224;0.842613816;0.443528235;-0.790061057
Bulgaria;-0.314629108;0.216149658;0.016597675;0.552765012;-0.123880945;0.390798122
Burkina Faso;-0.337194502;-0.586434007;-0.650512815;-0.360514224;-0.532375932;-0.18818748
Burundi;-1.165515304;-1.145101309;-1.73109746;-0.709168851;-1.121357083;-1.271513939
Cabo Verde;0.910824537;0.150738552;0.80067873;-0.256389976;0.551520526;0.954544663
Cambodia;-1.044289112;-0.689818084;-0.098188095;-0.48008877;-0.92039299;-1.094564199
Cameroon;-1.031635046;-0.763527691;-0.990810037;-0.905801117;-0.960885048;-0.958052933
Canada;1.854615808;1.765127301;1.242149591;1.705886722;1.835672379;1.443234921
Cayman Islands;1.027357936;1.145568728;1.188300848;0.821979523;0.824195981;0.434087068
Central African Republic;-1.312271714;-1.79160583;-2.086424589;-1.439991951;-1.721162796;-1.323354125
Chad;-1.292504668;-1.450363517;-0.986350894;-1.196028709;-1.161227584;-1.351856112
Chile;1.258787394;1.08178103;0.400926441;1.352704167;1.332737446;0.98666203
China;-0.267493218;0.424247801;-0.560549021;-0.268535793;-0.337186575;-1.578568816
Colombia;-0.292613208;-0.034857705;-1.060636759;0.451427698;-0.307377428;-0.070325017
Comoros;-0.640318215;-1.522009492;-0.113276958;-1.033009648;-0.83940053;-0.301612765
Congo. Dem. Rep.;-1.250442028;-1.625458479;-2.173878431;-1.344588399;-1.551409483;-1.308971047
Congo. Rep.;-1.222680569;-1.022714019;-0.507445276;-1.19392097;-1.044578075;-0.983737528
Costa Rica;0.707329631;0.378883988;0.578965366;0.493070573;0.478805602;1.143434405
Cote d'Ivoire;-0.417844236;-0.650963187;-0.861269414;-0.515242457;-0.618838966;-0.444398284
Croatia;0.200588778;0.509246707;0.576115847;0.364025623;0.202253044;0.500229418
Cuba;0.07178624;0.013740357;0.579513669;-1.245238543;-0.623653233;-1.526872754
Cyprus;0.980598271;1.036171079;0.542625785;1.060477018;1.011725426;1.042730331
Czech Republic;0.390838534;1.051495671;0.959901214;1.084799886;1.123225093;1.019537807
Denmark;2.231796503;1.849331021;0.892347932;1.733911633;2.040956259;1.568271279
Djibouti;-0.575444996;-0.956454158;-0.447735101;-0.68903923;-0.898576379;-1.402026772
